,kor,eng
25128,우리는 부엌에서 빵을 만들고 있습니다 .,We are baking bread in the kitchen .
25129,우리는 부전승으로 그 게임에서 이겼어요 .,We won the game by default .
25130,우리는 부족과 성을 점령합니다 .,Conquer the tribe and the castle .
25131,우리는 부족한 샘플을 보냈습니다 .,We sent a deficient sample .
25132,우리는 부지런한 사람으로 인식됩니다 .,We are recognized as diligent people .
25133,우리는 부킹이 바로 필요합니다 .,We need a booking right now .
25134,우리는 부탄에 방문했을 때 당신의 환대에 매우 감사하고 있습니다 .,We are very thankful for your kindness when we visited Bhutan .
25135,우리는 부품을 가지러 창고에 갔다 왔습니다 .,We went to the warehouse to take the parts .
25136,우리는 부품을 개선해야만 해요 .,We need to improve the parts .
25137,우리는 부품을 구매해야 합니다 .,We need to purchase components .
25138,우리는 부품을 빨리 갖기를 원합니다 .,We hope that we can have components soon .
25139,우리는 북한으로 인해 24시간 동안 경계 근무를 섭니다 .,We are under 24 7 shifts because of North Korea .
25140,우리는 분담을 나누어서 스케치 그리고 채색을 합니다 .,We share parts sketch and color .
25141,우리는 분리수거를 해야 합니다 .,We have to recycle .
25142,우리는 분명 잘 해낼 거에요 .,We will definitely do well .
25143,우리는 분명하게 상품 카달로그에 기재된 제품을 당신에게 올바르게 전달했습니다 .,We delivered you the exact product that was on our product catalog .
25144,우리는 분명히 2개를 시켰어요 .,We definitely ordered two .
25145,우리는 분명히 설명했고 그에게 확인도 받았습니다 .,We explained it clearly and got a confirmation from him .
25146,우리는 분명히 설명했고 그의 확인도 받았습니다 .,We precisely explained it and he also confirmed it .
25147,우리는 분명히 예약을 다시 할 것이에요 .,We will make the reservation again for sure .
25148,우리는 분명히 행복한 시간을 보낼 수 있을 거야 .,I am sure we will be able to spend a great time together .
25149,우리는 분석을 할지 안 할지 회의할 것이에요 .,We will discuss whether we will analyze it or not .
25150,우리는 분석하고 보다 많은 아이디어를 찾아야만 해요 .,We need to analyze and keep on finding more and more ideas .
25151,우리는 불고기 간장새우장을 판매해요 .,We sell bulgogi and soy sauce saeujang .
25152,우리는 불꽃놀이를 기대하고 있어요 .,We are looking forward to the display of fireworks .
25153,우리는 불량 제품의 시리얼 번호를 원해요 .,We want the serial number of the defective product .
25154,우리는 불량품 코드에 대해 3가지 항목으로 요청했어요 .,We requested 3 kinds of items about the defective product code .
25155,우리는 불분명한 관계 속에서 유영해요 .,We are floating in an ambiguous relationship .
25156,우리는 불쌍한 사람들을 도와줘야만 해요 .,We should help poor people .
25157,우리는 불쌍한 사람을 도와야 해요 .,We have to help poor people .
25158,우리는 불편을 끼쳐드린것에 대해서 사과드립니다 .,We are sorry for any inconvenience .
25159,우리는 불필요한 비용 상승이 걱정돼 .,We are worried about the unnecessary cost increase .
25160,우리는 불필요한 지출을 하지 말아야 해요 .,We must avoid unnecessary expenses .
25161,우리는 뷔페에서 식사를 했습니다 .,We had a meal at the buffet .
25162,우리는 뷰티테크 라이프 선도기업입니다 .,We are a leading company in beauty tech life .
25163,우리는 브라질 공장 설립에 관해 신중하게 검토하고 있습니다 .,We are cautiously considering building a factory in Brazil .
25164,우리는 브라켓을 가지고 있습니다 .,We have a bracket .
25165,우리는 브랜드 고유의 속성을 유지하면서 커뮤니케이션 전략을 리뉴얼할 것입니다 .,We will refresh the communication strategy maintaining our brands own characteristics .
25166,우리는 브랜드를 넓혀 나가는 데에 장애가 되지는 않을지 등에 대해 신중히 생각해야 합니다 .,We should consider whether there will be many obstacles to spreading our brand .
25167,우리는 브레스킨 천연 수제 비누의 효과 200 발휘를 위한 테스트를 하는 중입니다 .,We are testing for 200 effect of the breskin natural handmade soap .
25168,우리는 블록체인에 최적화된 인플루언서 마케팅을 중점으로 홍보업무를 진행하고 있습니다 .,We are conducting promotions with influencer marketing optimized for blockchain in the center .
25169,우리는 비디오를 빌릴 수도 있어요 .,We can rent a video .
25170,우리는 비만 문제를 무시할 수 없어요 .,We cannot ignore the issue of obesity .
25171,우리는 비밀번호를 정기적으로 변경해주어야 하며 예측할 수 없는 번호로 설정해 두어야 합니다 .,We have to change the passwords regularly and set them with unpredictable numbers .
25172,우리는 비밀을 주제로 수업을 했었습니다 .,We had a class about secret as a theme .
25173,우리는 비본질적인 것에 자유를 줘야 해요 .,We have to give freedom to the nonessential .
25174,우리는 비빔국수 잔치국수를 판매해요 .,We sell bibim guksu and janchi guksu .
25175,우리는 비빔밥 수제비 등을 판매해요 .,We sell bibimbap sujebi etc .
25176,우리는 비상 회의를 해야 합니다 .,We need to have an emergency meeting .
25177,우리는 비슷한 가격으로 설정하려고 노력해요 .,We try to set similar prices .
25178,우리는 비슷한 관심사를 가졌어요 .,We have a similar interest .
25179,우리는 비슷한 데이터를 얻어야 한다고 생각해요 .,We think we should get similar data .
25180,우리는 비슷한 부분이 많은 것 같아 .,It seems that we have lots in common .
25181,우리는 비슷한 식성을 가졌어요 .,We have a similar taste .
25182,우리는 비슷한 이름을 가졌지만 동일 인물이 아닙니다 .,We have a similar name but we are not the same person .
25183,우리는 비용을 낮추려고 많은 노력 했습니다 .,We tried to low down the cost .
25184,우리는 비용을 절약해야 해요 .,We should save expenses .
25185,우리는 비용이 많다고 추측해요 .,We predict that the cost will be high .
25186,우리는 비용이 빨리 처리되기를 원해요 .,We hope the amount gets settled fast .
25187,우리는 비전이 있는 기업입니다 .,We are a corporation with a vision .
25188,우리는 비즈니스 하는 사이에요 .,We are business acquaintances .
25189,우리는 비치와 드라이브를 할 것이에요 .,We are going for a drive with Beech .
25190,우리는 비판적으로 사고해야 해요 .,We must think critically .
25191,우리는 비판적인 사고도 해야 합니다 .,We have to do critical thinking .
25192,우리는 비행기 값을 찾아 볼거에요 .,We will search the price of the flight .
25193,우리는 비흡연 구역에 조용한 방을 원합니다 .,We want a non smoking and quiet room .
25194,우리는 빕스에 가서 맛있는 스테이크를 먹기로 약속했습니다 .,We promised to go to VIPS and have delicious steak there .
25195,우리는 빕스에서 맛있는 음식을 먹으며 이야기했어요 .,We had a talk while having a delicious meal at VIPs .
25196,우리는 빛나는 별들을 사랑해요 .,We love shining stars .
25197,우리는 빠르고 정확한 영상 자막 번역 서비스를 제공합니다 .,We offer fast and accurate translation services for video subtitles .
25198,우리는 빠른 확인을 위해 이메일을 보냈습니다 .,We sent an email for a quick check .
25199,우리는 빠른 회신을 기대하고 있어요 .,We look forward to a prompt reply .
25200,우리는 사과와 수박을 아래 사진과 같이 사용하겠습니다 .,We ll use the apples and watermelons as shown below .
25201,우리는 사과와 수박을 잘못 이해한 것 같아 .,I think we misunderstood the apple and watermelon .
25202,우리는 사귄 지 2년도 넘었습니다 .,We ve been dating for over 2 years .
25203,우리는 사귄 지 7일 되었습니다 .,It s been 7 days since we started dating .
25204,우리는 사람들에게 전쟁의 참상을 알립니다 .,We inform people of horrible realities of the war .
25205,우리는 사람들이 세계를 경험하도록 영감을 준다 .,We inspire people to experience the world .
25206,우리는 사람을 구해내는 영웅들을 종종 볼 수 있다 .,We often see heroic people who save others .
25207,우리는 사람이 많은 장소에 갔어요 .,We went to a crowded place .
25208,우리는 사랑에 대해 탐구해야 하고 잘 알아야 합니다 .,We need to study love and have good knowledge about it .
25209,우리는 사랑을 위해서 조금 더 참고 기다려야 해요 .,We should take a step back and wait dear .
25210,우리는 사랑의 관점이 서로 다른가요 ?,Do you have different points of view on love ?
25211,우리는 사랑이라 말 할 수 있어요 .,We can say that it is love .
25212,우리는 사랑하기 위해 태어났어요 .,We are born to love .
25213,우리는 사랑하는 사이입니다 .,We are in love .
25214,우리는 사랑하면 안된다는 말인가요 ?,Do you mean we should not love each other ?
25215,우리는 사랑할 수 없으니까 그냥 친구로 지내요 .,We cannot love each other so let s just be friends .
25216,우리는 사랑했고 다퉜지만 여전히 우리는 하나야 .,We loved and fought but still we are the one .
25217,우리는 사료를 직접 맛보고 평가합니다 .,We taste the pet food ourselves and evaluate it .
25218,우리는 사무실도 이전했어요 .,We moved our office as well .
25219,우리는 사무실에 인터넷이 들어와야 갈 수 있습니다 .,We can leave when the internet comes into the office .
25220,우리는 사보험 가지고 있어요 .,We have private insurance .
25221,우리는 사복 패션을 이야기하면 소희를 빼놓을 수 없어요 .,We can t leave Sohee out when we talk about casual fashion .
25222,우리는 사복을 입어도 되나요 ?,Can we wear ordinary clothes ?
25223,우리는 사생활 노출을 조심해야 해요 .,We have to be careful about exposing our private lives .
25224,우리는 사소한 것 때문에 싸워요 .,We argue because of trivial things .
25225,우리는 사소한 것부터 안 맞아요 .,We do not match each other from tiny little things .
25226,우리는 사소한 대화하면서 버스를 탔어 .,We got on the bus having a trivial conversation .
25227,우리는 사순과 레브론이 있어요 .,We have Sassoon and Revlon .
25228,우리는 사실 견우와 직녀 같아요 .,Actually we are like the Cowherd and the Weaver Girl .
25229,우리는 사실적 정보에 관하여 묻고 대답 할 수 있습니다 .,We can ask and answer about realistic information .
25230,우리는 사업 파트너의 확대를 추진 중입니다 .,We are promoting the expansion of the business partner .
25231,우리는 사업에 대하여 이야기할 거야 .,We will talk about the business .
25232,우리는 사업에 대하여 준비를 잘하겠다 .,We will prepare well for the business .
25233,우리는 사업에 대해서 쉽고 빠르게 대화할 수 있습니다 .,We can talk about the business quickly and easily .
25234,우리는 사용자들이 떠나는 걸 막아야 할 것 같아요 .,I think we need to prevent users from leaving .
25235,우리는 사용자의 만족을 위해 구체적으로 고민하고 연구했습니다 .,We debated and researched concretly for the satisfaction of users .
25236,우리는 사용한 물건은 스스로 정리해요 .,We organize the objects we use by ourselves .
25237,우리는 사운드 오퍼레이터와 7일 날 설치 현장에 함께 갈 것입니다 .,We will visit the installation site with the sound operator on the 7th .
25238,우리는 사원 여행으로 싱가포르에 갔어요 .,We went on a company trip to Singapore .
25239,우리는 사이판에 결혼 30주년 기념 여행을 다녀왔어요 .,We went to Saipan to celebrate our 30th anniversary .
25240,우리는 사인이 되어있는 pdf file이 필요합니다 .,We need a pdf file with a signature on it .
25241,우리는 사자에 대해 많이 배웠어요 .,We learned a lot about lions .
25242,우리는 사장이 서명한 신청서가 필요합니다 .,We need an application that the boss signed .
25243,우리는 사적인 질문을 하면 안 됩니다 .,We should not ask private questions .
25244,우리는 사정이 매우 급해요 .,We have an emergency .
25245,우리는 사정이 생겨서 오늘 출근 못 해요 .,We cannot go to work today because something just came up .
25246,우리는 사진 찍고 난 후에 고기 먹었어 .,We ate meat after taking pictures .
25247,우리는 사진도 예쁘게 많이 찍을 거에요 .,We will take a lot of beautiful photos .
25248,우리는 사진에 미술품이 하나만 있음을 볼 수 있습니다 .,We can see there is only one art in the picture .
25249,우리는 사진에 첨부한 부품들을 교체했어요 .,We changed the materials attached in the picture .
25250,우리는 사진에서만 보았던 모습을 봤어 .,We saw the scenery that we only saw in the picture before .
25251,우리는 사진으로 보내준 서클 선은 굳이 필요하지 않아 .,Actually we dont need that circle line that you sent us a picture .
25252,우리는 사진을 많이 찍지 않았어요 .,We didn t take a lot of pictures .
25253,우리는 사진을 바탕으로 주제를 정해요 .,We decide on the subject based on the photo .
25254,우리는 사진을 봐서 행복했습니다 .,We were happy to see the pictures .
25255,우리는 사진을 찍고 거리로 나왔어요 .,We came out to the street after taking a photo .
25256,우리는 사진을 찍고 그것을 마셨어요 .,We took a picture and drank it .
25257,우리는 사진을 참조해서 준비했습니다 .,We prepared it by referring to the picture .
25258,우리는 사진처럼 분무기로 뿌립니다 .,We spread with spray as shown in a photo .
25259,우리는 사촌을 만나서 행복했어요 .,We were happy to meet our cousin .
25260,우리는 사회에서 살아가고 있다 .,We live in a society .
25261,우리는 사회에서 효율적으로 경쟁해야 해요 .,We have to compete effectively in society .
25262,우리는 사회의 한 일원입니다 .,We are part of the society .
25263,우리는 사회적 관계를 형성 확장 시킬 수 있어요 .,We can form and expand the social relationship .
25264,우리는 사회적 동물이기 때문에 그렇게 행동해야만 해요 .,We need to act like this since we are social animals .
25265,우리는 사회적 동물이기 때문에 살아가고 번영하기 위해서는 강력한 관계가 필요해요 .,As social animals we require strong relationships in order to thrive and survive .
25266,우리는 사회적으로 이슈가 되고 있는 문학 표절에 관해서 이야기를 해보고자 합니다 .,We want to talk about the literary plagiarism which is a social issue .
25267,우리는 사회적으로 좋은 변화를 주는 일들에 큰 관심을 갖고 있습니다 .,We are highly interested in giving socially desirable changes to society .
25268,우리는 사후면세점 사업을 준비 중입니다 .,We are preparing a tax refund business .
25269,우리는 산 낙지와 낙지볶음을 판매해요 .,We sell sannakji and nakjibokkeum .
25270,우리는 산길을 거의 1마일 정도 걸었습니다 .,We walked along the mountain path nearly a mile .
25271,우리는 산악 오토바이를 익히기 위한 기본 코스를 준비했습니다 .,We prepared a basic course to learn a mountain motorcycle .
25272,우리는 산업개발을 지향합니다 .,We aim for industrial development .
25273,우리는 산업용 단말기를 개발 중이에요 .,We are developing industrial terminals .
25274,우리는 산채정식 청국장을 판매합니다 .,We sell sanchae jeongsik and cheonggukjang .
25275,우리는 산책 후 시원한 팥빙수를 먹었어요 .,We ate cool patbingsu after taking a walk .
25276,우리는 산책하는 동안 마음의 안정을 찾습니다 .,We get relaxed while taking a walk .
25277,우리는 살라망카에서 갈아타야 해요 .,We have to transfer at Salamanca .
25278,우리는 살면서 많은 사람들을 만나요 .,We face many people in our lives .
25279,우리는 살면서 어떤 것에 대한 제출기한을 지켜야 할 때가 있습니다 .,Sometimes we should have to do something at the deadline .
25280,우리는 살아있다는 것을 느껴요 .,We feel alive .
25281,우리는 삶에 대한 생각이 비슷한 거 같아 .,We have a similar idea in life .
25282,우리는 삶에서 불안을 완전히 해소할 수 없습니다 .,We can t resolve anxieties completely in our lives .
25283,우리는 삼겹살 멸치 회무침 등을 판매해요 .,We sell pork belly myulchi hoemuchim etc .
25284,우리는 삼겹살 항정살 등을 판매해요 .,We sell pork belly pork neck etc .
25285,우리는 삼겹살과 김치찌개를 판매해요 .,We sell pork belly and kimchi stew .
25286,우리는 삼목 선착장에서 매시간 출발하는 신도로 배를 타고 갑니다 .,We are taking a ship to Shindo departing every hour at Sammok dock .
25287,우리는 삼성에 직접 영업할 거예요 .,We will do the business directly to Samsung .
25288,우리는 삼성에게 새로운 기준에 대하여 자세히 설명하여야 합니다 .,We should explain it in detail about the new criteria for Samsung .
25289,우리는 삼성으로부터 아래와 같이 지적을 받았다 .,Samsung pointed out things about our work listed below .
25290,우리는 삼위일체에 대해서 주목할 필요가 있어 .,We need to focus on the Trinity .
25291,우리는 삼위일체의 증거를 성경을 통해 찾을 수 있습니다 .,We can find out the evidence of the Trinity through the Bible .
25292,우리는 삼중 룸을 신청하고 확정을 받았는데요 .,We went for dinner after leaving Home Plus .
25293,우리는 삼촌이 될 예정이에요 .,We are going to be uncles .
25294,우리는 상가에 저녁쯤에 도착했습니다 .,We arrived in the shopping district at night time .
25295,우리는 상금에 관심이 없습니다 .,We are not interested in prize money .
25296,우리는 상기 품목에 대하여 아래와 같이 물성을 확인합니다 .,As stated below we verify the properties of the following items .
25297,우리는 상대에게 확신이 없었어요 .,We were not sure about each other .
25298,우리는 상대편과 싸움이 났습니다 .,We fought with the opponents .
25299,우리는 상사의 전화를 기다리고 있는 중이에요 .,We re waiting for the boss s call .
25300,우리는 상태를 모니터링하는 중이에요 .,We re in the middle of monitoring the condition .
25301,우리는 상품을 빨리 받아야 합니다 .,We have to get the goods quickly .
25302,우리는 상품을 지우지 못하고 있어요 .,We cannot delete the goods .
25303,우리는 상품의 반환을 승인했고 그 절차를 진행하고 있습니다 .,We authorized the refund and we are processing it .
25304,우리는 상품의 수출을 허가합니다 .,We authorize the export of products .
25305,우리는 상품의 질을 높여야 해요 .,We should improve the quality of the goods .
25306,우리는 상품의 퀄리티와 합리적인 가격과 신뢰를 중요시해요 .,We put importance on the quality of products a reasonable price and trust .
25307,우리는 상품이 개봉된 채 반품될 것에 대해 우려하고 있습니다 .,We are worried that the product would be returned open .
25308,우리는 상하이 팀에게 그것을 업데이트해 달라고 요청했어요 .,I asked the Shanghai team to update it .
25309,우리는 상호 이해 및 존중의 자세로 인권을 존중합니다 .,We respect human rights by mutual understanding and respectful attitude .
25310,우리는 새 천 년을 맞이하고 있습니다 .,We are welcoming a new millennium .
25311,우리는 새 천년의 시작을 축하했습니다 .,We celebrated the beginning of a new millennium .
25312,우리는 새 텔레비전을 원해요 .,We want a new television .
25313,우리는 새 학기의 교실이 곧 새로운 세계 라고 생각해요 .,We straight think the class of the new term The whole new world .
25314,우리는 새로 쌓인 눈 위로 발자국을 남겼어요 .,Our boots left tracks in the fresh snow .
25315,우리는 새로운 Sculpts Blank와 Mocha skin의 이미지를 조만간 업데이트 할 것이에요 .,We are updating images of new Sculpts Blank and Mocha Skin soon .
25316,우리는 새로운 결핵 약물 치료법의 제3단계에 진입하고 있다 .,We are entering phase three with a new TB drug regime .
25317,우리는 새로운 근황을 올립니다 .,We upload a new status .
25318,우리는 새로운 길로 갔습니다 .,We went to the new road .
25319,우리는 새로운 길을 만들어 갑니다 .,We continue to make our own new path .
25320,우리는 새로운 드라이버의 장점을 설명했습니다 .,We accounted for the strong points of the new driver .
25321,우리는 새로운 디자인의 패키지가 필요합니다 .,We need a package with new designs .
25322,우리는 새로운 문서 번호가 필요해요 .,We need to new document number .
25323,우리는 새로운 문서를 요청해요 .,We ask for a new document .
25324,우리는 새로운 복사기로 교체할 것이에요 .,We will replace it with a new copy machine .
25325,우리는 새로운 부품을 검사했습니다 .,We examined new components .
25326,우리는 새로운 사무실로 이전 했습니다 .,We moved to a new office .
25327,우리는 새로운 사업 파트너를 원합니다 .,We want new business partners .
25328,우리는 새로운 상품의 발주 준비를 하고 있어요 .,We are preparing to place an order for new products .
25329,우리는 새로운 샌드위치 메뉴 구상 중이에요 .,We are developing new sandwich menu .
25330,우리는 새로운 샘플을 제작했어요 .,We made a new sample .
25331,우리는 새로운 생활에 적응하는 게 쉬웠다 .,It was easy to adapt to a new lifestyle .
25332,우리는 새로운 시장에 초점을 맞춥니다 .,We focus on a new market .
25333,우리는 새로운 아이템을 만들기 위해 매일 바쁘다 .,We have been busy creating a new item .
25334,우리는 새로운 아파트를 찾을 거예요 .,We are going to find a new apartment .
25335,우리는 새로운 일을 즐기며 일하고 있습니다 .,We are enjoying our new work .
25336,우리는 새로운 자원을 개발하는데 더욱 관심을 가져야 해요 .,We should put more focus on developing new resources .
25337,우리는 새로운 장소에서 예배하고 있어 .,We are worshipping in a new place .
25338,우리는 새로운 전설의 탄생을 보고 있어 .,We are looking at the birth of a new legend .
25339,우리는 새로운 제품을 적용하는 것이 좀더 쉽다 .,It s more convenient to apply the new product .
25340,우리는 새로운 조건의 테이블을 만들었다 .,I made a new table with different conditions .
25341,우리는 새로운 주문과 함께 배송해주겠다 .,We will send it with your new order .
25342,우리는 새로운 주문서를 보냅니다 .,We are sending a new order sheet .
25343,우리는 새로운 주문을 하겠습니다 .,We d like to make a new order .
25344,우리는 새로운 주문을 합니다 .,We are placing a new order .
25345,우리는 새로운 주문이 있습니다 .,We ve got a new order .
25346,우리는 새로운 주문이 있어요 .,We have new orders .
25347,우리는 새로운 친구를 만나는 것을 진심으로 기뻐하고 있습니다 .,The many runners and I are truly glad to meet new friends .
25348,우리는 새로운 컨셉의 작품을 전시합니다 .,We exhibit the artwork with a new concept .
25349,우리는 새로운 표현을 배울 거에요 .,We are going to learn new expressions .
25350,우리는 새로운 해외 시장을 계속 찾고 있다 .,We are searching for new overseas markets .
25351,우리는 새로운 회사를 만들어야 해요 .,We have to build a new company .
25352,우리는 새벽 늦게까지 소주를 같이 마셨습니다 .,We drank soju together till late at dawn .
25353,우리는 새해에 서로에게 그것을 말합니다 .,We tell that each other in the new year .
25354,우리는 색깔을 맞추기 힘들어요 .,It s hard to coordinate colors for us .
25355,우리는 샘플 10개를 저희에게 직접 보내주길 원합니다 .,We want 10 samples sent to us directly .
25356,우리는 샘플에 테스트를 해야 하는지 궁금해요 .,We wonder if we have to do tests to samples .
25357,우리는 샘플에만 적용하길 원해요 .,We want to apply it only to the sample .
25358,우리는 샘플을 구매했었을 것입니다 .,We would have bought the sample .
25359,우리는 샘플을 마치지 못했습니다 .,We couldn t finish the sample .
25360,우리는 샘플을 받는 것보다 컨테이너를 빨리 받아야 해요 .,We have to receive the container faster than the samples .
25361,우리는 샘플을 받은 후 그것이 좋으면 당신에게 서류를 발행할 거예요 .,We will issue a paper if we get samples and find it good .
25362,우리는 샘플을 발송하는 데 50일이 걸립니다 .,It takes 50 days for us to send the sample .
25363,우리는 샘플을 잘 받았습니다 .,We ve received the sample safely .
25364,우리는 샘플하고 같이 오는 원본 서류만 있으면 됩니다 .,We just need the sample that comes with the original document .
25365,우리는 생각을 가져야 해요 .,We need to think .
25366,우리는 생각이 아주 다릅니다 .,We have a completely different opinion .
25367,우리는 생각지 못한 교통사고에 당할 수도 있어 .,We can have an unexpected car accident .
25368,우리는 생각할 시간을 갖기로 했어요 .,We agreed to have some time to think .
25369,우리는 생굴 요리 와인 등을 판매해요 .,We sell raw oyster dish wine etc .
25370,우리는 생등심 한우국밥 등을 판매해요 .,We sell beef sirloin hanu gukbap and more .
25371,우리는 생로랑과 구찌 가방도 필요합니다 .,We also need Saint Laurent and Gucci bags .
25372,우리는 생명은 소중하다고 교육받습니다 .,We are educated that every life is precious .
25373,우리는 생명이 물로부터 시작되었음을 알 수 있습니다 .,We could know that life started with water .
25374,우리는 생명이 얼마나 소중한지 알아야 해요 .,We need to know how life is precious .
25375,우리는 생산 팀으로부터 요청을 받았어요 .,We have received a request from the production team .
25376,우리는 생산을 너무 많이 하고 있어요 .,We re producing too much .
25377,우리는 생산을 부족하게 하였습니다 .,We underproduced it .
25378,우리는 생산하기 위해 많은 테스트를 했어요 .,We have done many tests to produce .
25379,우리는 생산하기 위해서 교체를 해야 합니다 .,We have to replace it for production .
25380,우리는 생산하는데 3주 소요됩니다 .,The production takes three weeks for us .
25381,우리는 생산해서 납품 예정입니다 .,We are going to deliver after production .
25382,우리는 생선요리를 먹었다 . 정말 맛있었다 .,We had fish dishes and it was really delicious .
25383,우리는 생선을 주로 구워 먹습니다 .,We mainly have baked fish .
25384,우리는 생활 속에서 결정을 내려야 할 때가 많습니다 .,There are many occasions in life in which we have to make decisions .
25385,우리는 생활하면서 계산을 할 때가 많습니다 .,We calculate very often in our lives .
25386,우리는 샴페인을 준비했습니다 .,We prepared champagne .
25387,우리는 서대회 갈치구이 등을 판매합니다 .,We sell seodae hoe galchi gui and so on .
25388,우리는 서두르지 말고 멈추지도 말자 .,We shouldn t hurry but also be steady .
25389,우리는 서두를 필요 없어요 .,We don t need to hurry .
25390,우리는 서두를 필요가 없어요 .,We don t have to hurry .
25391,우리는 서로 견해가 다른 것 같군요 .,We seem to have a different point of view .
25392,우리는 서로 결혼하기로 약속했어요 .,We ve promised to marry each other .
25393,우리는 서로 경쟁하고 있어요 .,We are competing with each other .
25394,우리는 서로 다른 교회에 다니고 있습니다 .,We are going to a different church .
25395,우리는 서로 다른 문화를 가졌습니다 .,We have different cultures .
25396,우리는 서로 말을 하지 않고 있어요 .,We re not speaking with each other .
25397,우리는 서로 사랑하고 있어요 .,We are in love with each other .
25398,우리는 서로 아주 잘 어울리는 커플이야 .,We re a couple who get along very well with each other .
25399,우리는 서로 얘기가 잘 통하고 취미도 잘 맞았어 .,We enjoyed talking and had common hobbies .
25400,우리는 서로 얘기를 나눈 지 오래되었어 .,We ve been talking to each other for a long time .
25401,우리는 서로 융화되어 새로운 공간을 창출합니다 .,We create a new space by harmonizing with each other .
25402,우리는 서로 이름이 같네요 .,We have the same name .
25403,우리는 서로 이해하기에는 너무 멀리 있어 .,We are too far away to understand each other .
25404,우리는 서로 일주일 동안 대화하지 않았어 .,We haven t talked to each other in a week .
25405,우리는 서로 점점 더 서로의 마음을 이해해 가는 것 같아 .,I feel like we re understanding each other more and more .
25406,우리는 서로 좋은 조력자가 되어 줄 수 있어 .,We can be good supporters of each other .
25407,우리는 서로 힘이 됩시다 .,Let s cheer up each other .
25408,우리는 서로가 다른 성격을 가졌어요 .,We have different personalities .
25409,우리는 서로가 다른 환경에서 살았어요 .,We lived in different environments .
25410,우리는 서로가 함께할 수 없어 .,We can t be together .
25411,우리는 서로를 껴안아 주었어요 .,We hugged each other .
25412,우리는 서로를 더 잘 생각할 수 있습니다 .,We can think about each other better .
25413,우리는 서로를 문화적으로 이해를 못 하는 것이 일반적이에요 .,We generally do not understand each other culturally .
25414,우리는 서로를 사랑하고 있어요 .,We love each other .
25415,우리는 서로를 생각하고 같은 방향을 향해 나아가요 .,We consider each other and we proceed in the same direction .
25416,우리는 서로를 신뢰하고 진행해야 해요 .,We should trust each other and process together .
25417,우리는 서로를 응시했습니다 .,We stared at each other .
25418,우리는 서로를 이해 못 하고 있어요 .,We are not getting each other .
25419,우리는 서로를 이해하려고 노력해야 합니다 .,We should try more to understand each other .
25420,우리는 서로를 존중하며 상대방을 배려해요 .,We respect and care for each other .
25421,우리는 서로를 찍어주고 있습니다 .,We are photographing each other .
25422,우리는 서로에 대하여 좀 더 시간을 갖고 배워야 해요 .,We need more time to learn about each other .
25423,우리는 서로에 대해 아무것도 몰라요 .,We know nothing about each other .
25424,우리는 서로에 대해 알아보아야 압니다 .,We must find out about each other .
25425,우리는 서로에 대해 알아본 후에야 만날 수 있습니다 .,We can meet only after we get to know each other .
25426,우리는 서로에게 맞춰 가며 고쳐야 해요 .,We should adjust to each other and improve ourselves .
25427,우리는 서로에게 실망만 합니다 .,We only get disappointed in each other .
25428,우리는 서로에게 이해하기 위해 많은 대화와 시간을 주어야 해요 .,We need much more talks and time to understand each other .
25429,우리는 서로에게 자부심을 느꼈어요 .,We were proud of each other .
25430,우리는 서로에게 좋은 친구가 될 수 있을 것입니다 .,We would be good friends with each other .
25431,우리는 서로에게 좋은 파트너가 될 겁니다 .,We will be good partners to each other .
25432,우리는 서로에게 추천해 준 것을 꼭 보기로 합시다 .,Let s watch the ones we recommended to each other .
25433,우리는 서로의 가족도 알고 지내요 .,We also know each other s family .
25434,우리는 서로의 근황에 관해 물었습니다 .,We caught up on each other .
25435,우리는 서로의 꿈을 격려하면서 꿈을 향해 나아가고 있습니다 .,We are moving toward our dreams by encouraging each other s dreams .
25436,우리는 서로의 꿈을 위해 다른 대학에 갔다 .,We entered another university for each one s different dream .
25437,우리는 서로의 물음에 친절하게 답할 의무가 있어 .,We have an obligation that replies friendly to the question of each other .
25438,우리는 서로의 방이 옆으로 있기를 원합니다 .,We hope our rooms are next to each other .
25439,우리는 서로의 비밀을 알아야 합니다 .,We should know about each other s secrets .
25440,우리는 서로의 사생활에 관여하지 않습니다 .,We don t get involved in each other s privacy .
25441,우리는 서로의 손톱에 네일 아트를 해주었다 .,We did a nail art on each other s nails .
25442,우리는 서로의 언어 때문에 너무 힘들어요 .,We are very hard because of our own language .
25443,우리는 서로의 잘못을 생각했습니다 .,We thought about what we did wrong to each other .
25444,우리는 서로의 존재를 몰랐잖아요 .,We didn t know each other s existence .
25445,우리는 서로의 차이점 때문에 풍족합니다 .,We are plentiful due to differences between us .
25446,우리는 서류를 추출해서 데이터 베이스를 만듭니다 .,We made a data base by extracting documents .
25447,우리는 서류와 상이한 걸 발견했어요 .,We found the difference with a document .
25448,우리는 서명하기 전에 검토했어요 .,We reviewed it before signing it .
25449,우리는 서명한 계약서를 첨부하여 보내드립니다 .,Attaching the signed contract .
25450,우리는 서버나 시스템에 어떤 것도 제거하거나 변경한 적이 없습니다 .,We didn t eliminate or change anything in the server or system .
25451,우리는 서버에 파일을 올려 두었어요 .,We upload the file at the server .
25452,우리는 서식을 작성해서 보냅니다 .,We are sending you a form after we filled it out .
25453,우리는 서울에 세 시에 도착해요 .,We will be arriving in Seoul at 3 .
